Date,signal
2019-06-07,Cash
2019-06-14,Cash
2019-06-21,Cash
2019-06-28,Cash
2019-07-05,Cash
2019-07-12,Cash
2019-07-19,Cash
2019-07-26,Cash
2019-08-02,Cash
2019-08-09,Cash
2019-08-16,Cash
2019-08-23,Cash
2019-08-30,Long
2019-09-06,Long
2019-09-13,Long
2019-09-20,Long
2019-09-27,Long
2019-10-04,Long
2019-10-11,Long
2019-10-18,Long
2019-10-25,Long
2019-11-01,Long
2019-11-08,Long
2019-11-15,Long
2019-11-22,Long
2019-11-29,Long
2019-12-06,Long
2019-12-13,Long
2019-12-20,Long
2019-12-27,Long
2020-01-03,Long
2020-01-10,Long
2020-01-17,Long
2020-01-24,Long
2020-01-31,Long
2020-02-07,Long
2020-02-14,Long
2020-02-21,Long
2020-02-28,Cash
2020-03-06,Cash
2020-03-13,Cash
2020-03-20,Cash
2020-03-27,Cash
2020-04-03,Cash
2020-04-10,Cash
2020-04-17,Cash
2020-04-24,Cash
2020-05-01,Cash
2020-05-08,Cash
2020-05-15,Cash
2020-05-22,Cash
2020-05-29,Cash
2020-06-05,Cash
2020-06-12,Cash
2020-06-19,Cash
2020-06-26,Cash
2020-07-03,Cash
2020-07-10,Cash
2020-07-17,Cash
2020-07-24,Cash
2020-07-31,Cash
2020-08-07,Cash
2020-08-14,Cash
2020-08-21,Cash
2020-08-28,Cash
2020-09-04,Cash
2020-09-11,Cash
2020-09-18,Cash
2020-09-25,Cash
2020-10-02,Cash
2020-10-09,Cash
2020-10-16,Cash
2020-10-23,Cash
2020-10-30,Cash
2020-11-06,Cash
2020-11-13,Cash
2020-11-20,Cash
2020-11-27,Cash
2020-12-04,Cash
2020-12-11,Cash
2020-12-18,Cash
2020-12-25,Cash
2021-01-01,Cash
2021-01-08,Cash
2021-01-15,Cash
2021-01-22,Cash
2021-01-29,Cash
2021-02-05,Cash
2021-02-12,Cash
2021-02-19,Cash
2021-02-26,Cash
2021-03-05,Cash
2021-03-12,Cash
2021-03-19,Cash
2021-03-26,Cash
2021-04-02,Cash
2021-04-09,Cash
2021-04-16,Cash
2021-04-23,Cash
2021-04-30,Cash
2021-05-07,Cash
2021-05-14,Cash
2021-05-21,Cash
2021-05-28,Cash
2021-06-04,Cash
2021-06-11,Cash
2021-06-18,Cash
2021-06-25,Cash
2021-07-02,Cash
2021-07-09,Cash
2021-07-16,Cash
2021-07-23,Cash
2021-07-30,Cash
2021-08-06,Cash
2021-08-13,Cash
2021-08-20,Cash
2021-08-27,Cash
2021-09-03,Cash
2021-09-10,Cash
2021-09-17,Cash
2021-09-24,Cash
2021-10-01,Cash
2021-10-08,Cash
2021-10-15,Cash
2021-10-22,Cash
2021-10-29,Cash
2021-11-05,Cash
2021-11-12,Cash
2021-11-19,Cash
2021-11-26,Cash
2021-12-03,Cash
2021-12-10,Cash
2021-12-17,Cash
2021-12-24,Cash
2021-12-31,Cash
2022-01-07,Cash
2022-01-14,Cash
2022-01-21,Cash
2022-01-28,Cash
2022-02-04,Cash
2022-02-11,Cash
2022-02-18,Cash
2022-02-25,Cash
2022-03-04,Cash
2022-03-11,Cash
2022-03-18,Cash
2022-03-25,Long
2022-04-01,Long
2022-04-08,Cash
2022-04-15,Cash
2022-04-22,Cash
2022-04-29,Cash
2022-05-06,Cash
2022-05-13,Cash
2022-05-20,Cash
2022-05-27,Cash
2022-06-03,Cash
2022-06-10,Cash
2022-06-17,Cash
2022-06-24,Cash
2022-07-01,Cash
2022-07-08,Cash
2022-07-15,Cash
2022-07-22,Cash
2022-07-29,Cash
2022-08-05,Cash
2022-08-12,Cash
2022-08-19,Cash
2022-08-26,Short
2022-09-02,Short
2022-09-09,Short
2022-09-16,Short
2022-09-23,Short
2022-09-30,Short
2022-10-07,Short
2022-10-14,Short
2022-10-21,Short
2022-10-28,Short
2022-11-04,Short
2022-11-11,Cash
2022-11-18,Cash
2022-11-25,Cash
2022-12-02,Cash
2022-12-09,Cash
2022-12-16,Cash
2022-12-23,Cash
2022-12-30,Cash
2023-01-06,Cash
2023-01-13,Cash
2023-01-20,Cash
2023-01-27,Cash
2023-02-03,Cash
2023-02-10,Cash
2023-02-17,Cash
2023-02-24,Cash
2023-03-03,Cash
2023-03-10,Cash
2023-03-17,Cash
2023-03-24,Cash
2023-03-31,Long
2023-04-07,Long
2023-04-14,Long
2023-04-21,Long
2023-04-28,Long
2023-05-05,Long
2023-05-12,Long
2023-05-19,Long
2023-05-26,Long
2023-06-02,Long
2023-06-09,Long
2023-06-16,Long
2023-06-23,Long
2023-06-30,Long
2023-07-07,Long
2023-07-14,Long
2023-07-21,Long
2023-07-28,Long
2023-08-04,Long
2023-08-11,Long
2023-08-18,Long
2023-08-25,Long
2023-09-01,Long
2023-09-08,Long
2023-09-15,Long
2023-09-22,Cash
2023-09-29,Cash
2023-10-06,Cash
2023-10-13,Cash
2023-10-20,Cash
2023-10-27,Cash
2023-11-03,Long
2023-11-10,Long
2023-11-17,Long
2023-11-24,Long
2023-12-01,Long
2023-12-08,Long
2023-12-15,Long
2023-12-22,Long
2023-12-29,Long
2024-01-05,Long
2024-01-12,Long
2024-01-19,Long
2024-01-26,Long
2024-02-02,Long
2024-02-09,Long
2024-02-16,Long
2024-02-23,Long
2024-03-01,Long
2024-03-08,Long
2024-03-15,Long
2024-03-22,Long
2024-03-29,Long
2024-04-05,Long
2024-04-12,Long
2024-04-19,Long
2024-04-26,Long
2024-05-03,Long
2024-05-10,Long
2024-05-17,Long
2024-05-24,Long
2024-05-31,Long
2024-06-07,Long
2024-06-14,Long
2024-06-21,Long
2024-06-28,Long
2024-07-05,Long
2024-07-12,Long
2024-07-19,Long
2024-07-26,Long
2024-08-02,Long
2024-08-09,Long
2024-08-16,Long
2024-08-23,Long
2024-08-30,Long
2024-09-06,Long
2024-09-13,Long
2024-09-20,Long
2024-09-27,Long
2024-10-04,Long
2024-10-11,Long
2024-10-18,Long
2024-10-25,Long
2024-11-01,Long
2024-11-08,Long
2024-11-15,Long
2024-11-22,Long
2024-11-29,Long
2024-12-06,Long
2024-12-13,Long
2024-12-20,Long
2024-12-27,Long
2025-01-03,Long
2025-01-10,Long
2025-01-17,Long
